Variable,Coefficient
Intercept,177.91332057826148
bathrooms,3.974459653719981
accomodate,33.79915755503646
bedrooms,12.548468877599241
beds,-3.652915192752271
Shared room,-50.17420202119358
Hotel room,59.60487340272318
Australie,-47.7818007578189
Argentine,-126.75190413339092
Thaïlande,-118.06827433200027
USA,-25.61463898938738
Bresil,-115.23213443824584
France,7.2980265312694685
Japon,-67.10724384977465
Espagne,-52.81081624682884
