"neighbourhood","Mean(price)"
"Bensonhurst",117.37142857142858
"Bentleigh",248.32914285714284
"Bento Ribeiro",17.30142857142857
"Bercy",386.52852459016395
"Bergen Beach",219.7142857142857
"Bergen-Lafayette",143.66666666666666
"Bermondsey",230.63674418604646
"Bethany",125
"Bethnal Green",180.37124358974373
"Beverly Crest",615
"Beverly Glen",572.6
"Beverly Hills",602.9459459459458
"Beverlywood",241.14285714285714
"Bexley",70.1688
"Bigorrilho",313.5
"Billingsgate",315.37
"Birchgrove",130.096
"Bixby Hill",236
"Bixby Knolls",271.4
"Bixby North",185.44444444444446
"Black Mountain",21.1796
"Blackheath",242.23100000000002
"Blackstone Estate",199.836
"Blair Hills",235.73333333333335
"Blanco - Culver Crest",155.20000000000002
"Bloomsbury",358.22453333333334
"Bluff Heights",204.52941176470588
"Bluff Park",376.5
"Boedo",77.56084210526315
"Boerum Hill",350.38028169014075
"Bom Fim",82.5
"Bondi",179.7736666666667
"Bondi Beach",220.26238596491226
"Bondi Junction",181.01263157894738
"Bonfim",132
"Bonsucesso",16.601538461538464
"Borough Park",112.14285714285714
"Bosque",79.65375
"Botafogo",62.79494075829383
"Botany",76.12
"Boulevard Heights",270
"Bounds Green",174.45999999999998
"Bourgogne",213.92
"Bourse (II Arrondissement)",336
"Bow",164.69347157190634
"Boyle Heights",138.82608695652175
"Bracuí",92.07
"Braga",101.3925
"Bransford Avenue",52
"Breakfast Point/Cabarita",210.82933333333335
"Brentwood",617.736037735849
"Brera",171.60899999999998
"Briarwood",19.856
"Brickell",250.32255555555554
"Bridge",209.352
"Bridge Plaza",275.27272727272725
"Brighton",216.33650000000003
"Brighton Beach",108.61538461538463
"Brighton-Le-Sands",116.53279999999998
"Brixton",135.7432191780822
"Brixton Hill",172.14396774193554
"Broadway Triangle",427
"Brockley",125.32788888888889
"Brockmont",104
"Bromley-by-Bow",137.09368750000002
"Bronte",286.2215593220339
"Bronxdale",48
"Bronzeville",67
"Brookline",963.2
"Brooklyn",88.33333333333333
"Brooklyn Heights",260.5063291139241
"Brooklyn Navy Yard",70
"Brownsville",137.37254901960782
"Brunswick",68.39491050583659
"Brás",28.215
"Brás de Pina",19.68214285714286
"Buckhead",801
"Buckley",81.5
"Buena Park",1409
"Bueng Kum",59.5014
"Bulls Head",138.83333333333334
"Bungalow Heaven",187.0769230769231
"Bunkyo District",98.04504347826091
"Buraquinho",30.36
"Burbank",290.603305785124
"Burnley",145.89666666666665
"Burtonport",93.94
"Burwood",85.28899999999999
"Bushwick",135.95334429400367
"Bushwood",163.2766666666666
"Butterfield Ranch",243.66666666666666
"Buttes-Chaumont - Belleville",172.7240628930818
"CITE FLN - 2eme TRANCHE",176.4
"CMV Artilleros y Pampa",96.03466666666667
"CMV Irala I",17.019
"Caballito",31.544723684210528
"Cabo Branco",135.105
"Caborê",48.345
"Cachambi",36.40676470588235
"Cachoeira do Bom Jesus",45.3842
"Cacuia",28.215
"Cahuenga Pass",410.52272727272725
"Caieira",51.315
"Caimbé",28.05
"Caiçaras",110.044
"Caju",57.75
"Cajueiro",39.6
"Calabasas Highlands",172.5
"Calabasas Hills",188
"Calabasas Park",155
"Calhoun Isles",109.395
"Calica",320.5
"California Heights",206.77777777777777
"Calle Riobamba",25.84884615384615
"Camas",175.84
"Camberwell",146.30643902439027
"Cambodia Town",304
"Cambria Heights",43
"Cambrian/Pioneer",256.322
"Cambridge",298.7213622291022
"Camburi",26.4
"Camden Town",308.1636438356166
"Camelback East Village",194
"Cammeray",490.974
"Camorim",89.24060869565213
"Camp d'en Grassot i Gràcia Nova",205.61625000000006
"Camperdown",241.8743529411765
"Campestre/Guadalupe Inn",206.908
"Campinho",20.196
"Campo Grande",31.934374999999996
"Campo Marzo",165.76
"Campsie",70.93
"Can Baro",64.16
"Canal Saint-Martin",182.9719540229885
"Canarsie",144.74657534246577
"Canasvieiras",52.596000000000004
"Canela",29.37
"Canggu",169.7355
"Cannaregio",304.64
"Cannes",244.53062500000001
"Canning Town",335.5
"Canoga Park",181.83783783783775
"Canonbury",190.68241176470588
"Canonbury ",127.49
"Canterbury",75.88933333333333
"Canyon Country",207.89130434782606
"Cap Estate",67.1
"Capitol Hill",200
"Capivari",23.8425
"Capucins - Victoire",140
"Carlson Park",223.55555555555557
"Carlton",111.90537037037033
"Carlton North",108.0149090909091
"Carmel",99.8523076923077
"Carmel Woods",306.88
"Carnaby",527.8524878048781
"Carnegie",81.65599999999999
"Carnelian Bay",296
"Carniel",165
"Carroll Gardens",274.6206896551724
"Carroll Park",100
"Carson",83.53125
"Carson Park",97.60000000000001
"Casa Amarela",73.095
"Casa Chomthian Village",63.333
"Casa Grande",167.90909090909093
"Casale del Pozzo",268.4
"Cascadura",36.465
"Cascatinha",52.346250000000005
"Castello",234.752
"Castle Cove/Middle Cove",131.01866666666666
"Castle Heights",162.3225806451613
"Castlecrag",92.26666666666667
"Castleton Corners",187
"Castropol",59.5
"Catalina Villas",154.64583333333334
"Catete",44.56893442622951
"Catford",122.28975
"Cathedral Hill",468.75
"Catumbi",30.877000000000002
"Caulfield",129.09870588235293
"Cavalcante",15.18
"Cavalinho Branco",29.37
"Cazenove",187.88
"Cañada del Carmen",105.357
"Cedar Crest",147
"Cedar Glen",621
"Cedarpines Park",153
"Centennial",195
"Centennial Hills",110
"Central",33.201
"Central Austin",166.076
"Central Beach Alliance",231.75
"Central Business District",155.20903265306114
"Central City",304.38461538461536
"Central Fort Lauderdale",236.5
"Central LA",343.48845126548247
"Central Malibu",675.2142857142857
"Central Minneapolis",209
"Central Oklahoma City",180
"Central Vancouver",482.16
"Central West End",328.79
"Centro",40.201564320388385
"Centro Direzionale",55.022
"Centro Histórico",287.0175
"Centro Storico",252.296
"Centro de Apoio I (Alphaville)",60.39
"Century City",348.59999999999997
"Cerqueira César",200.62900000000002
"Cerritos",57
"Chacarita",31.702108882521483
"Chalk Farm",139.71711111111108
"Champs-Elysées",334.0038027210886
"Chaperó",33
"Charleston",119.5
"Charter Oak",182.3170731707317
"Chatswood",112.31692307692306
"Chatswood West",66.259
"Chatsworth",225.76470588235296
"Chatuba",36.96
"Chatuchak",45.76211842105263
"Chelsea",306.71634416826004
"Chesterfield Square",219
"Cheviot Hills",413
"Chevy Chase",358.75
"Chicó Norte",107.14666666666666
"Chinatown",114.29642011834315
"Chingford",60.39
"Chino Canyon",220
"Chippendale",127.44333333333331
"Chiswick",256.410077294686
"Chiyoda District",166.18554878048792
"Chobham Manor",307.2285333333333
"Chom Thong",28.012375000000002
"Christian Park",156
"Churchill Gardens",168.76806896551722
"Chácara Bela Vista",22.242
"Chácara Entrerios",41.085
"Châtelet - Les Halles - Beaubourg",297.37617888198736
"Chūō District",120.25986538461535
"Cidade Monções",50.7485
"Cidade Nova",41.002500000000005
"Cidade Universitária da Universidade Federal do Rio de Janeiro",14.85
"Cihangir",128.52
"Cite des Freres",271.04
"Citrus Grove",219.59375000000006
"City Areal",61.05
"City Center",77.758
"City Island",171.25000000000003
"City of London",268.08110891089115
"City of Westminster",255.55164705882345
"Cité Ennour",224
"Ciutat Vella",272.72
"Civic Center",177.66666666666666
"Clairemont",73.85714285714286
"Clapham",201.49987234042555
"Clapham Park",80.52
"Clapham Town",637.45
"Clapton",237.4081875
"Claremont",106.04761904761905
"Clarkdale",179.65000000000003
"Clarksville",170
"Clason Point",121.18749999999999
"Claverack",70
"Clear Water Bay",71.91966666666667
"Clearwater Beach",363.2142857142857
"Clementi",83.74799999999999
"Clerkenwell",383.10857249070654
"Cleveland Heights",250
"Clifton",188.16666666666666
"Clifton Hill",142.26705882352942
"Clinton Hill",196.59016393442627
"Clovelly",281.99
"Cobble Hill",287.75
"Coburg",133.71882352941176
"Cocomarindo",105
"Coelho Neto",17.325
"Coghlan",89.08272727272728
"Coldharbour Estate",208.01
"Cole",105
"Colegiales",106.34519580419581
"Coleridge Gardens",328.119
"Colgate Center",495
"College Park, MD",200
"College Point",119.64285714285715
"Colliers Wood",228.14
"Collingwood",170.7702222222222
"Collingwood/Fitzroy",145.08933333333334
"Colonia San Jose",74
"Columbia Street Waterfront",209.33333333333334
"Columbia Street Waterfront District",357.5
"Colégio",74.58
"Commerce",156.8
"Commerce - Dupleix",272.70936111111115
"Complejo de Edificios Constitución Almagro",22.2195
"Complejo de Edificios Pampa",20.486
"Complejo de Edificios Plaza Oeste",14.183
"Complexo da Maré",55.6875
"Compton",70
"Conceição de Jacareí",63.40125
"Concord",167.184
"Concourse",76.54545454545456
"Concourse Village",155.72727272727275
"Condesa",113.6825
