"price","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","Australie","Argentine","Thaïlande","USA","Bresil","France","Japon","Espagne"
53.68,1,1,1,1,0,0,0,0,0,0,0,0,0,0
87.23,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0
248,2,6,2,3,0,0,0,0,0,1,0,0,0,0
113.001,1.5,3,1,1,0,0,0,0,0,0,0,0,1,0
208.32,1,3,0,1,0,0,0,0,0,0,0,1,0,0
50,1,1,1,1,0,0,0,0,0,1,0,0,0,0
46.33,2,4,1,3,0,0,0,1,0,0,0,0,0,0
73.92,1,2,0,0,0,0,0,0,0,0,0,1,0,0
45,1,2,1,1,0,0,0,0,0,1,0,0,0,0
73.81,1,1,0,1,0,0,0,0,0,0,0,0,0,0
71,1,1,1,1,0,0,0,0,0,1,0,0,0,0
350,2.5,6,3,3,0,0,0,0,0,1,0,0,0,0
318.054,1,2,1,1,0,0,0,0,0,0,0,0,0,0
260,1,2,1,1,0,0,0,0,0,1,0,0,0,0
96,1,2,1,1,0,0,0,0,0,1,0,0,0,0
60.39,1,2,1,1,0,0,0,0,0,0,0,0,0,0
39.711,1,3,1,2,0,0,0,1,0,0,0,0,0,0
313.6,2,6,4,7,0,0,0,0,0,0,0,0,0,1
122.122,2,2,1,1,0,0,0,0,0,0,0,0,0,0
374.418,2,4,2,2,0,0,0,0,0,0,0,0,0,0
244,2,4,2,2,0,0,0,0,0,1,0,0,0,0
317,2.5,5,2,3,0,0,0,0,0,1,0,0,0,0
43,1.5,2,1,1,0,0,0,0,0,1,0,0,0,0
201.3,3,5,3,4,0,0,0,0,0,0,0,0,0,0
47.275,1.5,2,1,1,0,0,0,1,0,0,0,0,0,0
217.98,2,4,2,3,0,0,1,0,0,0,0,0,0,0
9.075,1,4,1,4,1,0,0,0,0,0,1,0,0,0
119,1,4,1,2,0,0,0,0,0,1,0,0,0,0
248.27,2,8,3,5,0,0,0,0,0,0,0,0,0,0
330,1,6,2,4,0,0,0,0,0,1,0,0,0,0
187.88,2,4,2,2,0,0,0,0,0,0,0,0,0,0
24.75,1,2,1,1,0,0,0,0,0,0,1,0,0,0
201.3,1.5,4,1,2,0,0,0,0,0,0,0,0,0,0
247.5,1,3,1,1,0,0,0,0,0,0,1,0,0,0
53.894,1.5,3,2,2,0,0,0,1,0,0,0,0,0,0
80.685,1,5,2,5,0,0,0,0,0,0,1,0,0,0
76.12,1,2,1,1,0,0,1,0,0,0,0,0,0,0
75,1,3,1,1,0,0,0,0,0,1,0,0,0,0
159,1,4,1,1,0,0,0,0,0,1,0,0,0,0
340.48,1,2,1,1,0,0,0,0,0,0,0,1,0,0
275,1,3,1,1,0,0,0,0,0,1,0,0,0,0
161.04,1,2,1,1,0,0,0,0,0,0,0,0,0,0
228.14,1,2,1,1,0,0,0,0,0,0,0,0,0,0
134.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
80.52,1,2,1,1,0,0,0,0,0,0,0,0,0,0
16.5,1,2,1,1,0,0,0,0,0,0,1,0,0,0
47.275,1,2,1,1,0,0,0,1,0,0,0,0,0,0
95.2,1,4,2,2,0,0,0,0,0,0,0,0,0,1
128.8,1,2,1,2,0,0,0,0,0,0,0,1,0,0
29.45,1,2,1,1,0,0,0,0,1,0,0,0,0,0
41.52,7.5,1,1,1,0,0,1,0,0,0,0,0,0,0
37.82,1,2,1,1,0,0,0,1,0,0,0,0,0,0
108.702,1,1,1,1,0,0,0,0,0,0,0,0,0,0
80.52,1,1,1,1,0,0,0,0,0,0,0,0,0,0
59.048,1,1,0,0,0,0,0,0,0,0,0,0,0,0
139,1,2,1,1,0,0,0,0,0,1,0,0,0,0
65,2,2,2,3,0,0,0,0,0,1,0,0,0,0
134.2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
92,1,2,1,1,0,0,0,0,0,1,0,0,0,0
399,3,10,5,7,0,0,0,0,0,1,0,0,0,0
164.5,1,3,0,2,0,0,0,0,0,0,0,0,1,0
24.75,1,2,0,1,0,0,0,0,0,0,1,0,0,0
88.572,1,5,1,5,0,0,0,0,0,0,0,0,0,0
207.6,1,2,1,1,0,0,1,0,0,0,0,0,0,0
221.43,1,2,1,1,0,0,0,0,0,0,0,0,0,0
35.944,1,2,1,1,0,0,0,1,0,0,0,0,0,0
75.64,1,2,1,1,0,0,0,1,0,0,0,0,0,0
31.715,1,2,1,1,0,0,0,1,0,0,0,0,0,0
37.82,1,2,1,1,0,0,0,1,0,0,0,0,0,0
424.072,1,4,2,2,0,0,0,0,0,0,0,0,0,0
154.117,2.5,6,2,5,0,0,0,1,0,0,0,0,0,0
175,1.5,6,3,4,0,0,0,0,0,1,0,0,0,0
119,1,2,0,1,0,0,0,0,0,0,0,0,1,0
93,1,3,1,2,0,0,0,0,1,0,0,0,0,0
94.55,1,3,2,2,0,0,0,1,0,0,0,0,0,0
67.1,1,4,2,2,0,0,0,0,0,0,0,0,0,0
189.608,2,4,2,2,0,0,1,0,0,0,0,0,0,0
87.23,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0
107.36,3,2,1,1,0,0,0,0,0,0,0,0,0,0
25.823,1,2,1,1,0,0,0,0,1,0,0,0,0,0
127.49,1,2,1,1,0,0,0,0,0,0,0,0,0,0
16.074,1,2,1,1,0,0,0,1,0,0,0,0,0,0
29.605,1.5,4,1,3,0,0,0,0,1,0,0,0,0,0
31.36,1,1,1,1,0,0,0,0,0,0,0,0,0,1
67.1,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0
80,1,2,1,1,0,0,0,0,0,1,0,0,0,0
16.17,1,1,1,1,1,0,0,0,0,0,1,0,0,0
148.088,1,3,2,2,0,0,1,0,0,0,0,0,0,0
73.81,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0
46.5,1,2,1,1,0,0,0,0,1,0,0,0,0,0
42.548,1,2,1,1,0,0,0,1,0,0,0,0,0,0
80.52,1,2,1,0,0,0,0,0,0,0,0,0,0,0
9.455,1,4,2,4,1,0,0,1,0,0,0,0,0,0
53.68,1,2,1,1,0,0,0,0,0,0,0,0,0,0
65,2,2,1,1,0,0,0,0,0,1,0,0,0,0
65.74,1.5,3,1,2,0,0,1,0,0,0,0,0,0,0
94.55,1,4,2,4,0,0,0,1,0,0,0,0,0,0
66.185,2,4,3,3,0,0,0,1,0,0,0,0,0,0
18.91,1,2,0,1,0,0,0,1,0,0,0,0,0,0
25.529,1,2,1,3,0,0,0,1,0,0,0,0,0,0
76.494,1,2,1,1,0,0,0,0,0,0,0,0,0,0
27.552,1,2,1,1,0,0,0,1,0,0,0,0,0,0
53.08,2,4,1,1,0,0,0,1,0,0,0,0,0,0
132.37,2,5,3,3,0,0,0,1,0,0,0,0,0,0
25.529,1,2,1,1,0,0,0,1,0,0,0,0,0,0
110,1,2,1,1,0,0,0,0,0,1,0,0,0,0
150.647,1,2,1,1,0,0,0,0,0,0,0,0,1,0
179.2,1,2,1,1,0,0,0,0,0,0,0,1,0,0
28.365,1,2,1,1,0,0,0,1,0,0,0,0,0,0
31.202,1,2,1,1,0,0,0,1,0,0,0,0,0,0
79.52,1,2,1,1,0,0,0,0,0,0,0,1,0,0
86.5,1,2,1,1,0,0,1,0,0,0,0,0,0,0
78.4,1,2,1,1,0,0,0,0,0,0,0,1,0,0
144,1,2,1,1,0,0,0,0,0,1,0,0,0,0
84,1,2,1,1,0,0,0,0,0,0,0,0,0,1
175.802,1,2,1,1,0,0,0,0,0,0,0,0,0,0
45.577,1,2,1,1,0,0,0,0,0,0,0,0,1,0
36.875,1,2,1,2,0,0,0,1,0,0,0,0,0,0
14.183,0,2,1,1,1,0,0,1,0,0,0,0,0,0
128.205,1,4,1,1,0,0,0,0,0,0,0,0,1,0
98.497,1,4,1,1,0,0,0,0,0,0,0,0,1,0
42.548,2,4,2,2,0,0,0,1,0,0,0,0,0,0
77.5,1,4,2,2,0,0,0,0,1,0,0,0,0,0
35.929,1,4,2,2,0,0,0,1,0,0,0,0,0,0
373,1,4,2,2,0,0,0,0,0,1,0,0,0,0
402.6,1,4,2,2,0,0,0,0,0,0,0,0,0,0
22.275,1,2,1,1,0,0,0,0,0,0,1,0,0,0
30.969,2,4,2,3,0,0,0,0,1,0,0,0,0,0
61.215,3,3,2,2,0,0,0,0,0,0,1,0,0,0
178,1,2,0,1,0,0,0,0,0,1,0,0,0,0
42.287,1,2,0,1,0,0,0,1,0,0,0,0,0,0
52.01,1,2,0,1,0,0,0,0,0,0,0,0,1,0
85.095,1,2,0,1,0,0,0,1,0,0,0,0,0,0
71.225,1,2,0,1,0,0,0,0,0,0,0,0,1,0
27.42,1,2,0,1,0,0,0,1,0,0,0,0,0,0
429.44,2,8,2,3,0,0,0,0,0,0,0,0,0,0
28.233,1,4,1,3,0,0,0,1,0,0,0,0,0,0
213.378,1,4,2,3,0,0,0,0,0,0,0,0,0,0
116.769,2,6,2,4,0,0,0,1,0,0,0,0,0,0
40.26,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0
179.2,1,3,1,1,0,0,0,0,0,0,0,1,0,0
170.5,1,3,1,1,0,0,0,0,1,0,0,0,0,0
217.98,1,3,1,1,0,0,1,0,0,0,0,0,0,0
28.365,1,3,1,1,0,0,0,1,0,0,0,0,0,0
193.248,1,3,1,1,0,0,0,0,0,0,0,0,0,0
47.275,1,4,1,2,0,0,0,1,0,0,0,0,0,0
183.38,2,2,2,0,0,0,1,0,0,0,0,0,0,0
247.5,5,10,5,6,0,0,0,0,0,0,1,0,0,0
87.12,2.5,4,2,2,0,0,0,0,0,0,1,0,0,0
20.46,1,4,2,3,0,0,0,0,0,0,1,0,0,0
150,1,1,0,1,0,0,0,0,0,1,0,0,0,0
201.3,2,4,2,2,0,0,0,0,0,0,0,0,0,0
30.448,1.5,2,1,0,0,0,1,0,0,0,0,0,0,0
22.853,1,3,1,1,0,0,0,1,0,0,0,0,0,0
46.97,2,1,1,1,0,0,0,0,0,0,0,0,0,0
40,2.5,2,1,1,0,0,0,0,0,1,0,0,0,0
71.61,2,4,1,3,0,0,0,0,0,0,1,0,0,0
211.68,1,2,1,1,0,0,0,0,0,0,0,0,0,1
31.36,1.5,1,1,1,0,0,0,0,0,0,0,0,0,1
183.68,1.5,4,1,2,0,0,0,0,0,0,0,1,0,0
38.161,1,3,1,0,0,0,0,0,1,0,0,0,0,0
