"price","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","France","Argentine","USA","Australie","Espagne","Bresil","Thaïlande","Japon"
70,5,5,5,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
100,5,5,5,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
50.4,5,5,5,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
135.52,5,5,5,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
126,5,5,5,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
33.093,5,5,5,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
173.118,5,5,5,5,5,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0
108.64,5,5,5,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
25.046,4.8,5,4.8,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
85.888,5,5,5,4.83,5,4.83,1,2,0,1,0,0,0,0,0,0,0,0,0,0
149.472,5,5,5,4.86,5,5,1,2,0,1,0,0,0,0,0,1,0,0,0,0
21.747,4.67,4.83,5,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
170.24,5,5,4.67,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
149,5,5,5,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
28.365,5,5,5,5,5,4.67,1,2,0,1,0,0,0,1,0,0,0,0,0,0
52.003,5,4.98,4.98,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
70,5,5,5,5,5,4.5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
34.984,5,5,5,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
172,5,5,4.86,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
20.801,5,5,5,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
22.607,5,5,5,5,5,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0
101.92,5,5,5,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
32.147,4.95,4.95,4.82,4.95,4.95,4.95,1,2,0,1,0,0,0,1,0,0,0,0,0,0
58,5,5,3.83,5,5,4.83,1,2,0,1,0,0,0,0,1,0,0,0,0,0
26.748,4.94,4.92,4.97,4.97,5,4.94,1,2,0,1,0,0,0,1,0,0,0,0,0,0
75.04,5,4.93,4.79,4.93,5,4.93,1,2,0,1,0,0,1,0,0,0,0,0,0,0
69.44,4.91,5,4.91,4.91,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
105.28,5,5,5,5,4.75,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0
33.093,5,5,5,5,5,5,1,3,1,2,0,0,0,1,0,0,0,0,0,0
122.122,5,4.88,5,5,5,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0
114.07,5,4.88,4.63,5,5,4.38,1,3,1,2,0,0,0,0,0,0,0,0,0,0
221,5,5,5,5,5,5,2,8,3,4,0,0,0,0,1,0,0,0,0,0
180,5,5,5,5,5,5,2,8,3,4,0,0,0,0,1,0,0,0,0,0
244,4.67,5,5,4.67,5,4.33,2,8,3,4,0,0,0,0,1,0,0,0,0,0
147.62,5,5,5,5,5,4.25,1.5,4,2,3,0,0,0,0,0,0,0,0,0,0
46.33,5,5,4.96,4.96,5,5,1.5,4,2,3,0,0,0,1,0,0,0,0,0,0
67.074,4.98,4.96,5,5,5,4.98,1,3,2,3,0,0,0,1,0,0,0,0,0,0
221,5,5,5,5,5,5,2,7,3,5,0,0,0,0,1,0,0,0,0,0
118.72,5,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,1,0,0,0
63.074,5,5,5,5,5,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0
68.442,5,5,4.67,5,4.67,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0
79.178,5,5,4.5,5,4.5,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0
122.122,5,5,5,5,5,5,1,4,1,3,0,0,0,0,0,0,0,0,0,0
37.82,5,5,5,5,5,5,1,4,1,3,0,0,0,1,0,0,0,0,0,0
36.503,5,5,5,5,5,5,1,4,1,3,0,0,0,1,0,0,0,0,0,0
21.208,5,5,5,5,5,5,1,4,1,3,0,0,0,1,0,0,0,0,0,0
56.36,4.5,4.5,4.5,4.5,5,5,1,4,1,3,0,0,0,1,0,0,0,0,0,0
110.72,5,5,5,5,5,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0
107.36,5,5,4.83,4.83,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
115,5,5,5,5,5,5,2,4,2,2,0,0,0,0,1,0,0,0,0,0
53.976,5,5,5,5,5,5,1,4,1,3,0,0,0,0,0,1,0,0,0,0
317,5,5,5,5,5,5,3.5,6,3,3,0,0,0,0,1,0,0,0,0,0
33.093,5,5,5,5,5,5,1,3,2,2,0,0,0,1,0,0,0,0,0,0
22.692,5,5,5,5,5,5,1,3,2,2,0,0,0,1,0,0,0,0,0,0
114.24,5,5,4.33,4.67,4.33,5,1,3,2,2,0,0,0,0,0,0,1,0,0,0
118.332,4.8,4.8,4.8,5,5,5,1,3,2,2,0,0,0,0,0,1,0,0,0,0
67.1,5,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
36,4.95,5,4.93,4.91,5,4.93,2,2,1,1,0,0,0,0,1,0,0,0,0,0
80.52,4.92,4.92,4.85,5,5,4.92,2,2,1,1,0,0,0,0,0,0,0,0,0,0
110.044,5,5,5,5,5,5,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0
87.23,5,5,5,5,5,5,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0
56,5,5,4.67,5,5,5,0.5,2,1,1,0,0,1,0,0,0,0,0,0,0
403.942,5,5,5,5,5,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
15.128,5,5,5,5,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
157.92,5,5,5,5,5,5,1,3,1,1,0,0,1,0,0,0,0,0,0,0
19.856,5,5,5,5,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
113.12,5,5,5,5,5,5,1,3,1,1,0,0,0,0,0,0,1,0,0,0
109.336,5,4.97,5,4.97,5,5,1,3,1,1,0,0,0,0,0,1,0,0,0,0
252.296,5,5,5,5,5,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
196,5,5,4.67,4.89,5,5,1,3,1,1,0,0,0,0,1,0,0,0,0,0
28.904,5,5,5,4.5,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
117,5,5,5,5,5,5,1,3,1,1,0,0,0,0,1,0,0,0,0,0
145.6,5,4.86,4.86,5,5,4.86,1,3,1,1,0,0,1,0,0,0,0,0,0,0
179.2,5,5,4.5,5,5,5,1,3,1,1,0,0,1,0,0,0,0,0,0,0
169.12,5,5,5,5,5,5,1,3,1,1,0,0,1,0,0,0,0,0,0,0
167.75,5,5,5,5,5,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
24.876,5,4.95,4.97,4.97,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
26.474,5,5,5,5,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
28.365,5,5,4.95,5,5,5,1,3,1,1,0,0,0,1,0,0,0,0,0,0
211.68,5,4.8,5,5,5,5,1,3,1,1,0,0,1,0,0,0,0,0,0,0
175.802,5,5,4.86,5,4.86,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
301.95,5,4.8,5,5,5,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
135.542,5,4.8,4.8,5,4.9,4.8,1,4,1,2,0,0,0,0,0,0,0,0,0,0
52.844,5,5,5,4.94,5,4.83,2,6,2,6,0,0,0,1,0,0,0,0,0,0
123.2,5,5,5,5,5,5,2.5,4,2,2,0,0,0,0,0,0,1,0,0,0
159,4.86,5,4.86,5,5,5,1,4,0,2,0,0,0,0,1,0,0,0,0,0
127.328,4.8,4.6,4.8,5,4.8,5,2,6,3,3,0,0,0,0,0,1,0,0,0,0
160.544,5,4.67,4.67,5,5,5,2,6,3,3,0,0,0,0,0,1,0,0,0,0
425.6,5,5,5,4.75,5,5,2,6,3,3,0,0,1,0,0,0,0,0,0,0
322.56,5,5,5,5,5,5,2,6,3,3,0,0,1,0,0,0,0,0,0,0
135,5,5,4.8,5,5,4.2,2,6,3,3,0,0,0,0,1,0,0,0,0,0
303.292,5,5,5,5,5,5,1,6,2,0,0,0,0,0,0,0,0,0,0,0
169.092,5,5,5,5,5,5,1,4,1,2,0,0,0,0,0,0,0,0,0,0
82.348,4.83,4.83,5,4.83,5,5,1,4,1,2,0,0,0,0,0,1,0,0,0,0
187.88,4.75,5,4.25,5,5,5,1,4,1,2,0,0,0,0,0,0,0,0,0,0
142,5,5,4.71,4.71,4.71,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
56,5,5,4,5,5,4,1,4,2,3,0,0,0,0,0,0,1,0,0,0
34.038,5,5,5,5,5,5,1,4,2,3,0,0,0,1,0,0,0,0,0,0
179.2,4.67,5,4.83,4.67,5,4.83,1,4,2,3,0,0,1,0,0,0,0,0,0,0
88.576,5,5,5,5,5,5,1,4,2,3,0,0,0,0,0,1,0,0,0,0
44.98,5,5,5,5,5,5,4,1,1,1,0,0,0,0,0,1,0,0,0,0
152.24,5,5,5,5,5,5,3,8,4,4,0,0,0,0,0,1,0,0,0,0
207.6,5,5,5,4.67,5,4.67,1,7,3,4,0,0,0,0,0,1,0,0,0,0
